#{"t_start": 1665418421.216946, "env_id": null}
r,l,t,is_success
-14.0,3,6491.393619,
-12.888889,4,6491.702091,
-14.0,3,6491.983407,
-12.888889,4,6492.288184,
-14.0,3,6492.568931,
-14.0,3,6492.852076,
-14.0,3,6493.108874,
-14.0,3,6493.397222,
-8.964388,5,6493.705989,
-8.964388,5,6494.031806,
-8.964388,5,6494.333981,
-14.0,3,6494.628864,
-16.0,4,6494.93588,
-14.0,3,6495.230502,
-8.964388,5,6495.523704,
-14.0,3,6495.776597,
-14.0,3,6496.043929,
-12.888889,4,6496.348412,
-14.0,3,6496.627352,
-10.335471,10,6497.046496,
-14.0,3,6497.334679,
-8.964388,5,6497.662762,
-14.0,3,6498.137941,
-8.964388,5,6498.449468,
-8.964388,5,6498.750495,
-14.0,3,6499.017343,
-14.0,3,6499.282245,
